mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,chathistory1,chathistory2,user_id
b,b,160.0,110,3.90,2.620,16.46,0,1,4,4,a,b, 1
b,b,160.0,110,3.90,2.875,17.02,0,1,4,4,a,b, 2
b,b,108.0, 93,3.85,2.320,18.61,1,1,4,1,a,b, 3
b,b,258.0,110,3.08,3.215,19.44,1,0,3,1,a,b, 4
b,b,360.0,175,3.15,3.440,17.02,0,0,3,2,a,b, 5
b,b,225.0,105,2.76,3.460,20.22,1,0,3,1,a,b, 6
b,b,360.0,245,3.21,3.570,15.84,0,0,3,4,a,b, 7
b,b,146.7, 62,3.69,3.190,20.00,1,0,4,2,a,b, 8
b,b,140.8, 95,3.92,3.150,22.90,1,0,4,2,a,b, 9
b,b,167.6,123,3.92,3.440,18.30,1,0,4,4,a,b,10
b,b,167.6,123,3.92,3.440,18.90,1,0,4,4,a,b,11
b,b,275.8,180,3.07,4.070,17.40,0,0,3,3,a,b,12
b,b,275.8,180,3.07,3.730,17.60,0,0,3,3,a,b,13
b,b,275.8,180,3.07,3.780,18.00,0,0,3,3,a,b,14
b,b,472.0,205,2.93,5.250,17.98,0,0,3,4,a,b,15
b,b,460.0,215,3.00,5.424,17.82,0,0,3,4,a,b,16
b,b,440.0,230,3.23,5.345,17.42,0,0,3,4,a,b,17
b,b, 78.7, 66,4.08,2.200,19.47,1,1,4,1,a,b,18
b,b, 75.7, 52,4.93,1.615,18.52,1,1,4,2,a,b,19
b,b, 71.1, 65,4.22,1.835,19.90,1,1,4,1,a,b,20
b,b,120.1, 97,3.70,2.465,20.01,1,0,3,1,a,b,21
b,b,318.0,150,2.76,3.520,16.87,0,0,3,2,a,b,22
b,b,304.0,150,3.15,3.435,17.30,0,0,3,2,a,b,23
b,b,350.0,245,3.73,3.840,15.41,0,0,3,4,a,b,24
b,b,400.0,175,3.08,3.845,17.05,0,0,3,2,a,b,25
b,b, 79.0, 66,4.08,1.935,18.90,1,1,4,1,a,b,26
b,b,120.3, 91,4.43,2.140,16.70,0,1,5,2,a,b,27
b,b, 95.1,113,3.77,1.513,16.90,1,1,5,2,a,b,28
b,b,351.0,264,4.22,3.170,14.50,0,1,5,4,a,b,29
b,b,145.0,175,3.62,2.770,15.50,0,1,5,6,a,b,30
b,b,301.0,335,3.54,3.570,14.60,0,1,5,8,a,b,31
b,b,121.0,109,4.11,2.780,18.60,1,1,4,2,a,b,32
